Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Tripura,Maize,North,Loamy,1227.64,23.7,0.49,0.65,0.8,6.71
Rajasthan,Wheat,West,Peaty,989.69,18.1,0.84,0.63,0.66,1.64
Kerala,Cotton,West,Peaty,639.14,37.7,0.63,0.81,0.35,9.5
Manipur,Soybean,North,Loamy,286.5,19.5,0.89,0.02,0.96,7.85
Sikkim,Rice,West,Peaty,317.46,22.5,0.03,0.7,0.24,3.54
Himachal Pradesh,Maize,East,Silt,1472.41,31.4,0.52,0.44,0.29,1.55
Arunachal Pradesh,Cotton,West,Sandy,427.59,30.6,0.36,0.12,0.98,3.66
Delhi,Wheat,South,Peaty,1193.84,21.2,0.69,0.82,0.66,1.78
Andhra Pradesh,Cotton,North,Silt,1134.35,26.5,0.39,0.98,0.16,4.9
Odisha,Cotton,West,Sandy,1018.02,38.2,0.02,0.16,0.91,4.96
Assam,Soybean,East,Clay,1076.25,18.2,0.73,0.89,0.31,9.32
Assam,Maize,North,Peaty,482.77,27.9,0.9,0.97,0.04,6.9
Sikkim,Wheat,North,Sandy,316.12,32.1,0.77,0.2,0.9,6.92
Jammu and Kashmir,Maize,South,Silt,855.01,29.9,0.39,0.79,0.6,4.83
Himachal Pradesh,Rice,West,Sandy,1420.9,17.1,0.2,0.66,0.84,4.44
Himachal Pradesh,Cotton,West,Loamy,975.28,22.9,0.87,0.55,0.98,6.36
Arunachal Pradesh,Maize,West,Clay,1141.1,30.1,0.73,0.98,0.31,5.71
Rajasthan,Cotton,North,Sandy,1257.72,37.0,0.45,0.51,0.85,5.38
West Bengal,Wheat,West,Loamy,1273.9,20.0,0.44,0.48,0.18,6.78
Assam,Maize,Central,Clay,654.73,21.8,0.09,0.95,0.23,6.94
Chhattisgarh,Rice,West,Sandy,846.59,31.8,0.94,0.99,0.52,1.88
Odisha,Rice,Central,Loamy,721.95,23.0,0.21,0.09,0.75,1.81
Manipur,Cotton,Central,Loamy,1241.18,34.8,0.92,0.84,0.61,7.35
Maharashtra,Maize,Central,Silt,1233.99,32.5,0.73,0.43,0.58,7.78
Andhra Pradesh,Rice,East,Peaty,1267.08,15.7,0.02,0.58,0.98,4.46
Gujarat,Wheat,West,Silt,973.62,19.6,0.45,0.5,0.53,1.95
Tamil Nadu,Wheat,South,Clay,461.35,33.3,0.04,0.47,0.19,2.45
Delhi,Maize,West,Sandy,609.29,29.9,0.29,0.92,0.5,7.61
Andhra Pradesh,Maize,West,Silt,1246.24,39.5,0.56,0.16,0.18,5.2
Telangana,Soybean,South,Peaty,1009.63,20.2,0.58,0.51,0.62,2.34
Odisha,Cotton,East,Silt,798.21,28.5,0.83,0.64,0.77,2.6
Sikkim,Cotton,South,Sandy,719.97,19.5,0.72,0.77,0.87,9.98
West Bengal,Rice,Central,Sandy,951.73,18.8,0.11,0.54,0.24,2.94
Sikkim,Wheat,West,Silt,684.43,18.9,0.67,0.67,0.22,3.85
Bihar,Rice,East,Clay,1023.76,18.1,0.17,0.14,0.94,8.72
Assam,Cotton,South,Silt,1099.92,20.5,0.88,0.26,0.38,2.21
Uttarakhand,Cotton,Central,Loamy,1166.81,34.9,0.14,0.25,0.2,1.44
Chhattisgarh,Maize,North,Sandy,446.81,22.7,0.9,0.57,0.06,8.3
Bihar,Maize,West,Loamy,995.47,21.0,0.81,0.22,0.7,2.7
Karnataka,Cotton,West,Clay,1387.45,35.7,0.81,0.04,0.94,3.25
Punjab,Soybean,North,Peaty,1008.25,22.2,0.21,0.52,0.75,8.1
Karnataka,Cotton,East,Silt,487.73,36.1,0.8,0.13,0.71,2.21
Ladakh,Soybean,East,Loamy,1390.89,20.2,0.49,0.28,0.27,5.6
Uttar Pradesh,Cotton,South,Peaty,386.03,25.5,0.35,0.0,0.27,7.27
Uttarakhand,Soybean,North,Peaty,1176.16,17.7,0.04,0.65,0.17,4.77
Manipur,Cotton,Central,Clay,964.04,25.9,0.52,0.44,0.14,6.28
Manipur,Cotton,South,Sandy,1463.7,34.6,0.6,0.31,0.33,2.5
Tripura,Cotton,South,Peaty,1039.15,34.6,0.96,0.68,0.44,3.11
Mizoram,Maize,Central,Peaty,342.8,29.5,0.05,0.59,0.95,1.03
Tamil Nadu,Rice,North,Silt,419.28,37.0,0.27,0.32,0.31,9.78
Rajasthan,Maize,East,Peaty,1481.9,29.5,0.54,0.57,0.66,5.76
Karnataka,Rice,Central,Clay,1115.49,16.0,0.79,0.43,0.73,3.62
Haryana,Maize,North,Peaty,703.38,35.1,0.01,0.75,0.74,4.69
Assam,Cotton,West,Loamy,806.25,23.1,0.61,0.63,0.7,8.63
Goa,Maize,South,Clay,1015.8,31.4,0.98,0.71,0.93,8.05
Delhi,Maize,South,Silt,795.0,35.7,0.87,0.92,0.67,1.13
Chhattisgarh,Wheat,East,Loamy,910.52,25.3,0.59,0.57,0.51,8.52
Punjab,Wheat,North,Clay,494.41,22.0,0.56,0.63,0.04,8.96
Tamil Nadu,Wheat,West,Loamy,242.53,36.4,0.63,0.33,0.7,2.48
Meghalaya,Maize,East,Clay,457.92,23.4,0.28,0.95,0.22,2.08
Punjab,Cotton,Central,Peaty,1076.49,18.9,0.31,0.53,0.79,1.91
Goa,Cotton,West,Sandy,412.49,30.4,0.38,0.78,0.36,8.19
Assam,Maize,North,Loamy,598.65,15.7,0.57,0.09,0.7,1.41
Himachal Pradesh,Maize,West,Peaty,1038.22,17.0,0.2,0.85,0.22,8.88
Odisha,Rice,South,Clay,1085.04,16.8,0.11,0.55,1.0,5.43
Delhi,Soybean,East,Clay,905.33,39.2,0.6,0.95,0.93,2.67
Tripura,Cotton,West,Peaty,405.92,39.4,0.62,0.34,0.97,1.06
Madhya Pradesh,Maize,West,Loamy,734.6,27.8,0.47,0.14,0.37,3.94
Meghalaya,Soybean,Central,Silt,509.14,29.2,0.86,0.93,0.43,9.11
Gujarat,Maize,South,Silt,1462.57,39.0,0.75,0.36,0.28,7.68
Kerala,Soybean,North,Clay,1253.23,32.6,0.96,0.56,0.01,7.79
Uttarakhand,Cotton,East,Loamy,369.27,38.8,0.9,0.4,0.66,9.01
West Bengal,Cotton,North,Clay,1149.33,35.6,0.56,0.37,0.91,4.09
Uttarakhand,Soybean,North,Loamy,1469.38,37.2,0.45,0.91,0.72,5.37
Uttarakhand,Rice,North,Peaty,518.0,27.6,0.69,0.26,0.41,7.43
Arunachal Pradesh,Rice,East,Silt,1449.46,39.9,0.74,0.71,0.35,1.88
Jammu and Kashmir,Soybean,South,Silt,304.66,17.0,0.17,0.77,0.23,9.23
Odisha,Wheat,West,Sandy,1014.05,20.8,0.59,0.83,0.02,9.2
Rajasthan,Wheat,West,Loamy,1371.84,38.6,0.0,0.5,0.14,6.95
Sikkim,Rice,Central,Peaty,817.08,37.7,0.13,0.86,0.52,9.23
Goa,Rice,South,Sandy,477.42,38.1,0.87,0.46,0.84,7.1
Karnataka,Cotton,West,Silt,1231.0,32.8,0.95,0.75,0.62,9.42
Odisha,Cotton,South,Sandy,1000.88,16.6,0.81,0.76,0.82,3.07
Haryana,Soybean,East,Clay,1376.09,25.3,0.82,0.41,0.11,2.53
Gujarat,Rice,West,Loamy,568.37,25.1,0.02,0.42,0.16,2.74
Jharkhand,Wheat,South,Silt,366.6,16.7,0.68,0.47,0.69,2.96
Arunachal Pradesh,Maize,East,Silt,442.44,15.9,0.36,0.8,0.74,3.36
Chhattisgarh,Wheat,West,Peaty,1459.84,27.9,0.87,0.43,0.82,8.23
Goa,Wheat,North,Silt,904.61,23.7,0.17,0.25,0.58,3.21
Odisha,Cotton,East,Sandy,284.78,38.0,0.02,0.72,0.37,2.97
Mizoram,Soybean,East,Silt,1419.23,25.1,0.01,0.2,0.98,3.29
Assam,Wheat,Central,Peaty,481.01,16.2,0.95,0.42,0.09,8.12
Tripura,Rice,West,Clay,1286.44,24.1,0.51,0.39,0.28,9.12
Telangana,Maize,West,Silt,1108.12,37.2,0.71,0.99,0.35,3.29
Bihar,Wheat,East,Sandy,1228.29,21.7,0.21,0.46,0.17,9.27
Andhra Pradesh,Soybean,East,Clay,1497.4,26.3,0.95,0.52,0.55,7.31
Delhi,Cotton,South,Clay,711.67,37.1,0.62,0.19,0.12,2.75
Tripura,Cotton,East,Sandy,1295.25,36.1,0.21,0.31,0.06,9.75
Tamil Nadu,Wheat,North,Sandy,712.28,17.0,0.5,0.85,0.95,3.14
Meghalaya,Cotton,West,Silt,839.29,27.6,0.34,0.97,0.42,3.24
Kerala,Maize,Central,Clay,1297.4,17.6,0.82,1.0,0.7,2.74
Andhra Pradesh,Cotton,East,Silt,738.36,19.9,0.59,0.57,0.22,3.89
Madhya Pradesh,Rice,East,Peaty,436.27,16.8,0.16,0.28,0.49,8.59
Haryana,Soybean,North,Sandy,1379.14,23.4,0.41,0.54,0.64,4.69
Ladakh,Soybean,West,Peaty,980.18,32.3,0.27,0.57,0.52,9.37
Chhattisgarh,Cotton,West,Loamy,788.53,18.9,0.59,0.62,0.14,4.1
Bihar,Maize,West,Sandy,955.79,36.4,0.2,0.64,0.79,9.21
Telangana,Rice,West,Peaty,327.66,23.4,0.75,0.04,0.79,4.65
Bihar,Soybean,South,Clay,261.81,17.4,0.4,0.21,0.95,5.24
Karnataka,Soybean,Central,Silt,1329.01,24.7,0.83,0.77,0.78,2.29
Sikkim,Cotton,North,Silt,900.01,19.2,0.61,0.98,0.28,7.62
Goa,Wheat,Central,Loamy,919.43,26.4,0.78,0.88,0.46,2.42
Bihar,Soybean,North,Peaty,470.38,35.1,0.55,0.3,0.93,5.07
Odisha,Rice,Central,Clay,635.83,28.7,0.89,0.69,0.43,5.24
Himachal Pradesh,Maize,Central,Loamy,789.51,18.4,0.07,0.28,0.05,4.13
Tripura,Wheat,West,Sandy,1148.84,15.6,0.58,0.82,0.31,2.82
Odisha,Wheat,Central,Loamy,1486.18,21.5,0.53,0.72,0.77,7.74
Jharkhand,Rice,West,Sandy,673.32,21.7,0.55,0.21,0.45,1.95
Haryana,Soybean,West,Clay,1456.68,21.8,0.84,0.63,0.35,4.34
Odisha,Maize,West,Clay,360.65,18.7,0.1,0.25,0.32,8.18
Kerala,Wheat,North,Silt,1206.13,21.3,0.32,0.85,0.2,6.44
Madhya Pradesh,Rice,North,Silt,268.76,23.5,0.12,0.29,0.31,9.47
Ladakh,Wheat,North,Sandy,457.79,19.7,0.86,0.73,0.72,7.2
Himachal Pradesh,Wheat,Central,Clay,847.07,26.1,0.18,0.22,0.01,8.52
Goa,Soybean,South,Peaty,376.05,18.9,0.36,0.75,0.07,5.34
Maharashtra,Wheat,South,Clay,836.38,20.9,0.85,0.2,0.08,4.61
Maharashtra,Maize,South,Sandy,1232.76,17.9,0.25,0.91,0.15,2.1
Chhattisgarh,Rice,Central,Clay,795.03,27.2,0.8,0.35,0.48,8.64
Kerala,Soybean,South,Clay,579.2,35.7,0.46,0.49,0.76,2.92
Arunachal Pradesh,Cotton,South,Clay,1334.25,35.3,0.88,0.32,0.63,9.98
Karnataka,Soybean,West,Loamy,351.21,21.0,0.85,0.85,0.44,8.78
Manipur,Rice,East,Loamy,1266.1,25.9,0.58,0.69,0.08,9.9
Haryana,Maize,North,Loamy,353.87,26.4,0.56,0.75,0.44,5.78
Karnataka,Maize,Central,Sandy,378.43,19.5,0.02,0.79,1.0,6.44
Karnataka,Wheat,North,Silt,872.75,38.5,0.73,0.11,0.54,5.31
West Bengal,Rice,West,Sandy,1462.51,18.6,0.49,0.25,0.87,9.94
Nagaland,Maize,East,Silt,210.34,28.5,0.76,0.38,0.6,1.91
Assam,Maize,East,Peaty,297.67,35.7,0.83,0.22,0.36,4.99
Bihar,Wheat,North,Silt,1219.86,19.8,0.8,0.76,0.88,2.33
Jharkhand,Rice,West,Sandy,647.25,27.6,0.84,0.97,0.95,8.53
Uttarakhand,Rice,Central,Sandy,879.28,33.0,1.0,0.13,0.48,5.76
Gujarat,Wheat,South,Clay,732.8,19.2,0.58,0.57,0.92,4.91
Haryana,Rice,North,Peaty,298.31,25.7,0.81,0.2,0.81,3.13
Odisha,Wheat,South,Sandy,359.56,18.2,0.86,0.97,0.88,4.63
Madhya Pradesh,Wheat,South,Clay,1467.26,16.0,0.22,0.92,0.65,3.11
Haryana,Cotton,North,Loamy,943.67,37.7,0.32,0.17,0.33,6.09
Assam,Rice,South,Loamy,325.12,16.2,0.06,0.52,0.44,7.63
Manipur,Maize,South,Clay,290.73,26.8,0.32,0.86,0.11,7.8
Karnataka,Maize,North,Peaty,922.49,20.1,0.33,0.39,0.72,8.06
Bihar,Maize,Central,Clay,402.37,32.1,0.68,0.5,0.08,3.28
Andhra Pradesh,Cotton,East,Sandy,680.24,21.0,0.83,0.0,0.66,3.78
Gujarat,Soybean,North,Peaty,551.83,19.6,0.19,0.56,0.41,4.62
Uttar Pradesh,Cotton,North,Sandy,1375.86,24.7,0.39,0.16,0.34,1.58
Himachal Pradesh,Soybean,South,Peaty,264.01,27.5,0.36,0.98,0.8,2.58
Mizoram,Maize,North,Sandy,347.09,35.4,0.28,0.91,0.0,9.16
Manipur,Rice,North,Silt,682.12,35.0,0.61,0.82,0.11,4.13
Uttar Pradesh,Soybean,South,Clay,842.34,25.3,0.34,0.59,0.62,2.79
Chhattisgarh,Rice,North,Silt,1262.85,33.0,0.54,0.36,0.7,6.62
Haryana,Cotton,North,Silt,1019.37,25.5,0.91,0.58,0.05,5.26
Uttar Pradesh,Wheat,North,Loamy,264.98,19.2,0.75,0.35,0.34,2.07
Assam,Maize,West,Clay,471.64,25.7,0.3,0.33,0.52,7.54
Haryana,Maize,South,Loamy,892.84,24.9,0.28,0.95,0.92,2.63
Chhattisgarh,Cotton,East,Sandy,1366.31,34.3,0.85,0.61,0.99,3.11
Himachal Pradesh,Cotton,North,Peaty,1350.45,20.0,0.5,0.24,0.02,6.74
Assam,Maize,North,Silt,405.77,38.7,0.41,0.59,0.29,8.15
Andhra Pradesh,Maize,South,Peaty,1323.25,19.2,0.24,0.74,0.13,5.91
Uttar Pradesh,Rice,South,Silt,562.66,38.4,0.53,0.62,0.18,8.1
Uttarakhand,Rice,North,Silt,1425.96,32.1,0.78,0.13,0.92,1.32
Manipur,Maize,North,Sandy,1238.99,29.7,0.84,0.88,0.03,6.66
Chhattisgarh,Rice,East,Clay,790.43,26.4,0.47,0.84,0.47,9.17
Tamil Nadu,Maize,East,Sandy,355.62,29.6,0.6,0.56,0.69,2.6
Goa,Cotton,Central,Silt,618.11,33.3,0.38,0.69,0.68,6.52
Gujarat,Wheat,South,Silt,781.16,21.6,0.05,0.81,0.02,6.59
Meghalaya,Maize,Central,Silt,985.94,32.1,0.74,0.87,0.35,3.52
Manipur,Soybean,West,Sandy,704.45,30.2,0.35,0.43,0.25,4.16
Delhi,Wheat,East,Silt,761.11,38.6,0.59,0.55,0.37,9.74
Gujarat,Wheat,South,Clay,1325.29,22.1,0.46,0.37,0.66,6.05
Andhra Pradesh,Rice,West,Silt,1042.94,23.7,0.4,0.5,0.85,2.89
Himachal Pradesh,Cotton,East,Sandy,340.67,15.6,0.18,0.01,0.98,4.16
Ladakh,Soybean,West,Sandy,300.17,36.8,0.92,0.64,0.99,6.62
Haryana,Soybean,North,Sandy,1138.1,28.0,0.42,0.51,0.77,4.25
Kerala,Cotton,West,Loamy,761.05,17.7,0.7,0.43,0.16,9.59
Bihar,Wheat,West,Clay,1146.88,25.6,0.22,0.18,0.45,9.39
Madhya Pradesh,Rice,Central,Clay,754.42,18.9,0.73,0.13,0.32,8.29
Uttar Pradesh,Rice,West,Silt,830.49,31.1,0.32,0.41,0.64,3.13
Chhattisgarh,Wheat,East,Silt,1025.49,35.8,0.72,0.61,0.51,4.62
Arunachal Pradesh,Rice,South,Silt,986.59,38.9,0.85,0.07,0.64,2.17
Andhra Pradesh,Cotton,West,Sandy,1319.42,17.4,0.7,0.16,0.02,3.59
Kerala,Wheat,West,Peaty,863.36,36.8,0.36,0.94,0.91,3.34
Maharashtra,Soybean,Central,Peaty,1233.39,38.4,0.61,0.53,0.51,9.74
Uttar Pradesh,Maize,South,Silt,287.1,38.3,0.38,0.46,0.93,8.33
Meghalaya,Rice,West,Peaty,1484.34,19.8,0.67,0.82,0.45,4.4
Punjab,Rice,North,Loamy,1484.75,23.7,0.33,0.19,0.76,4.5
Gujarat,Rice,North,Silt,804.95,28.5,0.65,0.44,0.05,7.75
West Bengal,Maize,North,Silt,761.76,37.0,0.45,0.88,0.83,9.71
Gujarat,Rice,South,Loamy,1253.68,16.9,0.82,0.82,0.69,3.48
Haryana,Soybean,South,Peaty,1322.79,17.9,0.84,0.1,0.62,1.68
Haryana,Maize,Central,Clay,1497.81,21.4,0.4,0.51,0.17,7.08
Tripura,Cotton,North,Silt,1143.34,30.4,0.12,0.46,0.73,7.88
Uttarakhand,Soybean,West,Loamy,377.31,21.4,0.41,0.39,0.84,2.38
Uttarakhand,Wheat,West,Loamy,286.34,39.1,0.63,0.82,0.36,2.48
Uttar Pradesh,Cotton,North,Loamy,261.32,37.6,0.16,0.51,0.6,1.56
Gujarat,Cotton,East,Loamy,603.9,37.6,0.79,0.23,0.93,9.33
Rajasthan,Cotton,North,Silt,293.57,22.9,0.66,0.53,0.17,3.28
Himachal Pradesh,Rice,North,Sandy,782.39,36.4,0.11,0.12,0.09,1.58
Madhya Pradesh,Maize,Central,Clay,1390.27,24.0,0.68,0.28,0.11,8.96
Haryana,Wheat,South,Silt,928.95,37.8,0.28,0.7,0.95,5.32
Uttarakhand,Cotton,South,Silt,731.67,21.4,0.26,0.12,0.76,9.08
Jammu and Kashmir,Maize,Central,Sandy,1420.48,22.4,0.49,0.06,0.37,3.22
Mizoram,Maize,South,Loamy,1128.27,23.9,0.09,0.1,0.88,8.32
Sikkim,Maize,South,Sandy,219.37,29.5,0.9,0.7,0.62,7.14
Assam,Wheat,Central,Peaty,750.3,29.4,0.17,0.02,0.58,3.05
Kerala,Cotton,East,Sandy,478.68,18.1,0.74,0.52,0.1,8.09
Uttar Pradesh,Rice,West,Peaty,738.15,20.2,0.24,0.05,0.89,9.68
Haryana,Maize,East,Peaty,1172.94,23.6,0.5,0.17,0.31,2.24
Karnataka,Maize,South,Clay,477.4,25.0,0.29,0.25,0.45,4.07
Madhya Pradesh,Wheat,West,Loamy,307.06,26.6,0.1,0.85,0.66,4.64
Nagaland,Cotton,Central,Loamy,922.99,17.9,0.62,0.53,0.41,9.25
Ladakh,Soybean,South,Silt,604.77,22.4,0.85,0.4,0.81,3.77
Andhra Pradesh,Rice,Central,Sandy,1027.05,34.8,0.32,0.45,0.78,8.6
Assam,Cotton,Central,Loamy,1362.32,39.6,0.69,0.94,0.19,5.21
Madhya Pradesh,Rice,West,Sandy,1065.84,31.3,0.11,0.43,0.72,2.23
Nagaland,Maize,South,Clay,1279.45,34.8,0.2,0.32,0.35,3.35
Rajasthan,Wheat,East,Loamy,1299.23,30.1,0.9,0.22,0.03,5.74
West Bengal,Cotton,West,Silt,259.42,31.3,0.18,0.17,0.58,5.8
Jharkhand,Soybean,North,Sandy,1100.87,29.7,0.93,0.87,0.2,8.96
Andhra Pradesh,Rice,East,Loamy,658.8,15.1,0.62,0.09,0.53,9.6
Mizoram,Soybean,West,Loamy,1282.45,35.6,0.14,0.24,0.85,5.83
Manipur,Cotton,Central,Sandy,410.23,36.7,0.73,0.49,0.94,5.36
West Bengal,Rice,North,Silt,400.27,23.8,0.64,0.52,0.6,1.14
Bihar,Maize,North,Peaty,1253.13,25.9,0.84,0.66,0.84,5.93
Jharkhand,Cotton,West,Peaty,634.43,22.3,0.13,0.09,0.83,2.88
Maharashtra,Cotton,South,Sandy,642.8,36.2,0.78,0.21,0.7,7.82
Gujarat,Wheat,South,Loamy,1246.34,30.7,0.88,0.68,0.59,2.56
Tripura,Cotton,Central,Clay,562.23,21.9,0.07,0.67,0.07,2.77
Kerala,Cotton,West,Sandy,1368.89,18.6,0.78,0.49,0.46,2.7
Delhi,Soybean,East,Clay,1055.84,36.1,0.1,0.87,0.42,7.67
Bihar,Rice,West,Loamy,622.52,31.6,0.11,0.59,0.55,2.03
Karnataka,Soybean,West,Loamy,655.71,29.5,0.9,0.64,0.34,3.64
Odisha,Soybean,North,Sandy,514.02,27.8,0.6,0.94,0.95,6.59
Himachal Pradesh,Soybean,North,Peaty,555.48,32.9,0.6,0.68,0.84,4.08
Nagaland,Wheat,South,Peaty,1285.33,17.6,0.68,0.93,0.34,7.13
Bihar,Soybean,West,Peaty,815.11,34.0,0.76,0.27,0.44,2.63
Kerala,Cotton,South,Silt,280.16,38.1,0.33,0.55,0.57,5.16
Uttarakhand,Soybean,South,Clay,1406.64,37.5,0.98,0.02,0.0,2.22
Madhya Pradesh,Cotton,West,Clay,802.7,16.3,0.19,0.37,0.49,5.19
Kerala,Maize,North,Silt,1297.57,27.1,0.78,0.78,0.6,1.88
Jharkhand,Cotton,North,Sandy,538.31,36.2,0.38,0.4,0.24,8.13
Andhra Pradesh,Maize,Central,Sandy,667.04,32.1,0.82,0.99,0.88,9.01
Jammu and Kashmir,Wheat,West,Silt,455.57,30.0,0.53,0.78,1.0,6.57
Chhattisgarh,Rice,East,Clay,814.11,27.2,0.0,0.6,0.33,9.39
Telangana,Soybean,Central,Clay,214.79,24.3,0.47,0.27,0.28,3.51
Uttar Pradesh,Maize,East,Sandy,1212.09,26.8,0.33,0.34,0.01,2.76
Tripura,Rice,East,Clay,821.29,20.9,0.14,0.34,0.48,4.49
Ladakh,Rice,Central,Peaty,1219.23,17.4,0.96,0.43,0.9,1.98
Himachal Pradesh,Wheat,West,Sandy,546.55,25.1,0.41,0.47,0.13,1.68
Bihar,Maize,West,Silt,737.11,25.0,0.2,0.37,0.73,5.25
Kerala,Maize,East,Silt,944.85,15.5,0.62,0.84,0.85,6.1
Karnataka,Rice,North,Loamy,913.64,35.0,0.45,0.06,0.29,1.11
Manipur,Rice,North,Clay,1323.76,25.9,0.29,0.65,0.68,7.85
Madhya Pradesh,Rice,North,Loamy,680.86,19.0,0.42,0.76,0.61,2.91
Tripura,Maize,West,Loamy,245.91,28.9,0.84,0.44,0.9,2.14
Uttar Pradesh,Wheat,Central,Loamy,1336.34,20.8,0.79,0.36,0.27,5.43
Telangana,Soybean,North,Peaty,911.14,19.1,0.92,0.33,0.95,9.45
Nagaland,Cotton,East,Peaty,311.84,36.8,1.0,0.39,0.98,3.01
Assam,Rice,South,Silt,687.74,30.9,0.76,0.69,0.06,4.76
Jharkhand,Maize,Central,Loamy,607.47,33.4,0.69,0.73,0.55,1.64
Karnataka,Cotton,East,Sandy,1289.77,16.4,0.19,0.1,0.51,9.09
Kerala,Soybean,North,Silt,947.84,21.3,0.48,0.84,0.66,9.4
Meghalaya,Maize,South,Silt,419.53,17.4,0.32,0.73,0.95,1.85
Tamil Nadu,Rice,West,Loamy,851.19,30.5,0.35,0.21,0.72,8.27
Arunachal Pradesh,Maize,South,Sandy,1401.72,34.8,0.89,0.45,0.43,4.09
Madhya Pradesh,Cotton,East,Sandy,1461.45,24.2,0.3,0.44,0.73,7.33
West Bengal,Maize,Central,Sandy,961.6,19.5,0.22,0.3,0.94,2.02
Sikkim,Soybean,South,Silt,533.5,25.2,0.35,0.35,0.32,6.79
Uttar Pradesh,Rice,East,Loamy,587.31,36.2,0.97,0.57,0.7,3.3
Odisha,Cotton,South,Sandy,326.46,24.9,0.68,0.18,0.77,4.13
Ladakh,Rice,East,Clay,387.1,29.9,0.34,0.0,0.2,6.8
Kerala,Soybean,West,Sandy,1466.31,39.9,0.23,0.22,0.76,5.58
Nagaland,Soybean,South,Silt,1247.35,18.0,0.22,0.47,0.25,4.61
Bihar,Rice,North,Peaty,1020.19,20.2,0.02,0.44,0.21,5.63
Ladakh,Rice,Central,Silt,1203.69,20.7,0.97,0.17,0.04,6.87
Tamil Nadu,Soybean,Central,Peaty,598.45,37.7,0.36,0.62,0.72,3.48
Delhi,Cotton,East,Loamy,724.59,30.1,0.99,0.11,0.62,8.28
Arunachal Pradesh,Cotton,Central,Peaty,681.17,34.5,0.05,0.73,0.36,8.01
Odisha,Rice,East,Clay,1267.87,38.4,0.57,0.09,0.03,8.97
Maharashtra,Maize,North,Sandy,1153.39,28.7,1.0,0.7,0.92,9.99
Punjab,Maize,East,Silt,1035.28,17.7,0.33,0.48,0.97,8.12
Uttar Pradesh,Soybean,East,Sandy,578.34,21.3,1.0,0.22,0.53,2.71
Meghalaya,Maize,South,Silt,939.29,23.1,0.04,0.28,0.62,2.91
Karnataka,Rice,South,Sandy,715.88,18.0,0.69,0.61,0.6,1.11
Madhya Pradesh,Rice,South,Loamy,1181.93,21.2,0.82,0.08,0.36,9.35
Meghalaya,Cotton,West,Peaty,308.84,32.7,0.1,0.07,0.28,2.11
Mizoram,Soybean,West,Loamy,561.3,19.5,0.08,0.5,0.65,4.33
Manipur,Cotton,West,Sandy,339.02,39.8,0.96,0.06,0.05,7.94
Arunachal Pradesh,Maize,West,Peaty,511.09,22.6,0.23,0.99,0.14,6.92
Kerala,Maize,Central,Peaty,861.01,17.1,0.54,0.7,0.98,8.67
Meghalaya,Rice,Central,Peaty,1070.77,31.5,0.91,0.51,0.79,7.86
Uttarakhand,Rice,North,Sandy,241.11,19.3,0.36,0.25,0.19,6.56
Uttarakhand,Rice,East,Silt,1163.79,31.9,0.93,0.92,0.93,7.03
West Bengal,Soybean,Central,Clay,729.4,23.4,0.17,0.51,0.09,7.67
Haryana,Wheat,West,Sandy,542.68,15.9,0.75,0.69,0.53,9.1
Karnataka,Maize,East,Sandy,878.33,23.8,0.04,0.51,0.16,4.25
Gujarat,Wheat,West,Loamy,222.07,19.0,0.35,0.38,0.79,4.81
Uttarakhand,Rice,West,Peaty,641.92,32.0,0.15,0.26,0.06,6.13
Assam,Rice,South,Clay,594.41,27.9,0.16,0.31,0.66,6.01
Uttarakhand,Soybean,East,Silt,438.38,28.8,0.1,0.81,0.28,5.69
Meghalaya,Rice,West,Sandy,368.91,24.3,0.49,0.59,0.47,8.71
Assam,Cotton,North,Loamy,1341.63,39.0,0.26,0.14,0.71,8.75
Arunachal Pradesh,Rice,Central,Peaty,353.57,36.9,0.06,0.04,0.5,7.48
Himachal Pradesh,Soybean,North,Loamy,1001.48,31.0,0.05,0.17,0.3,2.61
Jammu and Kashmir,Rice,Central,Peaty,1094.68,29.6,0.14,0.72,0.97,8.82
Kerala,Soybean,Central,Clay,305.14,23.6,0.36,0.19,0.88,2.27
Uttarakhand,Wheat,East,Peaty,333.64,36.1,0.47,0.91,0.3,1.57
Jammu and Kashmir,Soybean,Central,Silt,583.67,23.3,0.58,0.86,0.97,2.55
Odisha,Wheat,North,Peaty,1032.38,27.0,0.42,0.76,0.71,2.41
Ladakh,Maize,West,Clay,1028.28,28.9,0.64,0.88,0.99,3.03
Rajasthan,Wheat,North,Loamy,1499.9,27.2,0.65,0.63,0.63,6.13
Tamil Nadu,Maize,South,Clay,1068.9,15.6,0.88,0.99,0.77,6.82
Karnataka,Wheat,West,Clay,1051.79,19.9,0.73,0.6,0.12,5.15
Odisha,Wheat,Central,Loamy,819.12,29.1,0.33,0.34,0.74,8.21
Kerala,Soybean,South,Peaty,432.76,36.3,0.79,0.51,0.13,6.78
Tripura,Soybean,Central,Clay,1067.42,18.4,0.12,0.62,0.86,6.02
Chhattisgarh,Cotton,North,Clay,1447.69,23.8,0.11,0.7,0.76,4.98
Jharkhand,Maize,West,Clay,1311.85,25.9,0.79,0.82,0.32,7.98
Delhi,Rice,West,Clay,842.23,37.5,0.63,0.52,0.05,7.72
Gujarat,Wheat,East,Silt,1446.49,26.5,0.3,0.94,0.9,3.26
